2026-03-20 05:05:02,345 | INFO | events | preparing template=volatility_reversion expression=rank(((eps - ts_mean(eps, 20)) / (1 + ts_std_dev(eps, 20))))
2026-03-20 05:06:27,999 | INFO | events | completed alpha_id=445 status=complete sharpe=0.2700 fitness=0.0600
2026-03-20 05:06:33,472 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((close - ts_mean(close, 5)), industry))
2026-03-20 05:08:37,902 | INFO | events | completed alpha_id=454 status=complete sharpe=-1.9100 fitness=-0.8900
2026-03-20 05:08:38,162 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((eps / (1 + book_value)), 60) - ts_rank(book_value, 60)))
2026-03-20 05:08:50,119 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(vwap, 5) - ts_decay_linear(ts_delta(volume, 5), 10)))
2026-03-20 05:19:50,174 | INFO | events | preparing template=momentum expression=rank((ts_rank(returns, 10) - ts_rank(returns, 60)))
2026-03-20 05:21:45,368 | INFO | events | completed alpha_id=479 status=complete sharpe=0.5700 fitness=0.0900
2026-03-20 05:21:45,597 | INFO | events | preparing template=volatility_reversion expression=rank(((eps - ts_mean(eps, 40)) / (1 + ts_std_dev(eps, 40))))
2026-03-20 05:24:24,666 | INFO | events | completed alpha_id=484 status=complete sharpe=0.7000 fitness=0.2800
2026-03-20 05:24:24,698 | INFO | events | preparing template=breakout expression=rank(((returns - ts_min(returns, 60)) / (1 + (ts_max(returns, 60) - ts_min(returns, 60)))))
2026-03-20 05:24:26,129 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((returns - ts_mean(returns, 10)) / (1 + ts_std_dev(returns, 10))), 10)
2026-03-20 05:25:47,287 | INFO | events | completed alpha_id=489 status=complete sharpe=-0.9400 fitness=-0.2100
2026-03-20 05:25:58,260 | INFO | events | preparing template=fundamental_cross expression=zscore((ts_rank(sales, 60) - ts_rank(operating_margin, 60)))
2026-03-20 05:25:59,554 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(operating_margin, 120) - ts_rank(eps, 120)))
2026-03-20 05:26:01,762 | INFO | events | preparing template=volatility_reversion expression=zscore(((returns - ts_mean(returns, 10)) / (1 + ts_std_dev(returns, 10))))
2026-03-20 05:27:20,945 | INFO | events | completed alpha_id=515 status=complete sharpe=-0.9500 fitness=-0.2900
2026-03-20 05:27:26,450 | INFO | events | preparing template=quality_value expression=rank((ts_rank((book_value / (1 + operating_margin)), 120) - ts_rank(operating_margin, 120)))
2026-03-20 05:27:27,895 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((close - ts_mean(close, 10)), industry))
2026-03-20 05:29:02,841 | INFO | events | completed alpha_id=529 status=complete sharpe=-1.3700 fitness=-0.7200
2026-03-20 05:29:02,871 | INFO | events | preparing template=mean_reversion expression=zscore(group_neutralize((returns - ts_mean(returns, 40)), industry))
2026-03-20 05:30:18,745 | INFO | events | completed alpha_id=530 status=complete sharpe=-0.9800 fitness=-0.3200
2026-03-20 05:30:18,958 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((returns / (1 + cashflow)), 5) - ts_rank(cashflow, 5)))
2026-03-20 05:32:02,202 | INFO | events | completed alpha_id=534 status=complete sharpe=-0.4500 fitness=-0.0400
2026-03-20 05:32:07,717 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((eps - ts_mean(eps, 5)), industry))
2026-03-20 05:33:39,383 | INFO | events | completed alpha_id=544 status=complete sharpe=-0.2100 fitness=-0.0300
2026-03-20 05:33:44,904 | INFO | events | preparing template=fundamental_cross expression=rank((ts_rank(eps, 20) - ts_rank(sales, 20)))
2026-03-20 05:36:23,767 | INFO | events | completed alpha_id=555 status=complete sharpe=0.7100 fitness=0.3200
2026-03-20 05:36:23,939 | INFO | events | preparing template=volatility_reversion expression=rank(((eps - ts_mean(eps, 5)) / (1 + ts_std_dev(eps, 5))))
2026-03-20 05:37:40,978 | INFO | events | completed alpha_id=559 status=complete sharpe=-0.1800 fitness=-0.0300
2026-03-20 05:37:41,234 | INFO | events | preparing template=mean_reversion expression=rank(group_neutralize((vwap - ts_mean(vwap, 5)), sector))
2026-03-20 05:40:48,058 | INFO | events | completed alpha_id=565 status=complete sharpe=-1.7500 fitness=-0.8200
2026-03-20 05:40:53,308 | INFO | events | preparing template=quality_value expression=rank((ts_rank((operating_margin / (1 + cashflow)), 60) - ts_rank(cashflow, 60)))
2026-03-20 05:41:00,220 | INFO | events | preparing template=momentum expression=rank((ts_rank(vwap, 60) - ts_rank(vwap, 120)))
2026-03-20 05:42:26,197 | INFO | events | completed alpha_id=584 status=complete sharpe=-0.7300 fitness=-0.3600
